0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:35:43 +0900] "GET /common//images/FoodImg/004_01.jpg HTTP/1.1" 200 175861
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:35:45 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:35:47 +0900] "GET /food_list.food?area=E&ord=coded HTTP/1.1" 200 15163
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:35:50 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:21 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:22 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:22 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:22 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:22 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:23 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:23 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:23 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:24 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:24 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:24 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:24 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:25 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
